itm_id,branch_stock_from_branch,branch_stock_from_main,diff
1,72740.14,74046.14,-1306
14,36,38,-2
75,116,123,-7
273,26,27,-1
285,23,20,3
519,17,18,-1
695,110,115,-5
743,38,47,-9
779,9,10,-1
793,15,25,-10
842,50,55,-5
953,48,53,-5
1100,88.01,98.01,-10
1163,37,40,-3
1167,5,6,-1
1187,49,55,-6
1188,0,4,-4
1224,3,4,-1
1335,17,19,-2
1361,17,19,-2
1491,2,4,-2
1564,25,27,-2
1587,28,30,-2
1599,18,8,10
1673,5,10,-5
1796,77,111,-34
2041,117,123,-6
2243,5,8,-3
2317,23,26,-3
2342,38,16,22
2354,25,34,-9
2378,17,22,-5
2390,22,20,2
2402,7,9,-2
2428,22,24,-2
2465,12,14,-2
2513,16,19,-3
2722,31,32,-1
2734,41,19,22
2771,22,25,-3
2833,11,10,1
2944,33,40,-7
2969,14,12,2
3025,17,11,6
3060,29,30,-1
3096,166.99,200.99,-34
3110,25,26,-1
3154,20,22,-2
3220,8,9,-1
3234,3,0,3
3318,17,18,-1
3370,120.02,127.02,-7
3436,12,14,-2
3441,76,94,-18
3516,31.01,23.01,8
3648,27,28,-1
3728,0,2,-2
3882,8,9,-1
3901,38,28,10
4061,77,81,-4
4086,16,17,-1
4111,2,4,-2
4135,41,9,32
4261,47,41,6
4278,27,23,4
4282,38,40,-2
4283,58,65,-7
4300,30,34,-4
4387,15,11,4
4422,44.02,39.02,5
4435,709.02,721.02,-12
4497,8,11,-3
4510,103,96,7
4534,4.04,10.04,-6
4608,42,13,29
4620,3,2,1
4852,0,3,-3
4972,13,10,3
4980,6,10,-4
4985,46,31,15
5051,104,110,-6
5101,81,90,-9
5651,37,39,-2
5678,723,80,643
5714,41,43,-2
6481,340,430,-90
6544,10,11,-1
6592,9.02,10.02,-1
6761,9,0,9
6854,10,11,-1
6884,95,105,-10
6944,7,11,-4
7082,50,86,-36
7099,0,1,-1
7231,14,17,-3
7253,2,3,-1
7256,44,46,-2
7623,5,6,-1
7757,87.02,102.02,-15
7947,76,77,-1
8160,38,30,8
8293,4,6,-2
8319,11,12,-1
8344,1,2,-1
8431,680,980,-300
8635,13,14,-1
8698,45,51,-6
8710,79.02,81.02,-2
8796,27,29,-2
8897,31.98,37.98,-6
8971,800,900,-100
8975,26,25,1
9032,13,11,2
9302,3,2,1
9318,225,137,88
9381,3,5,-2
9387,14,17,-3
9389,20,22,-2
9390,250,271,-21
9509,1,2,-1
9552,44,50,-6
9808,5.5,7.5,-2
9930,77,82,-5
9954,83,90,-7
10054,22,23,-1
10437,10,1,9
10439,2,1,1
10445,11,9,2
10463,9,12,-3
10465,18,13,5
10467,23,29,-6
10473,22,18,4
10474,71,77,-6
10478,15,17,-2
10484,21,11,10
10491,60.01,71.01,-11
10672,20,5,15
10690,20,22,-2
10702,36,72,-36
10704,70,76,-6
10735,5,3,2
10742,15,6,9
10745,7,8,-1
10746,264.98,359.98,-95
10747,67,28,39
10964,41,46,-5
10971,9,11,-2
11253,8,12,-4
11275,55,63,-8
11276,37,44,-7
11277,22,25,-3
11282,2,4,-2
11283,22,27,-5
11288,48,49,-1
11362,10,11,-1
11406,11,12,-1
11720,16,17,-1
11726,8,5,3
11737,50,53,-3
11923,130,136,-6
12094,10,13,-3
12108,18,19,-1
12132,13,7,6
12167,54,56,-2
12190,126,156,-30
12360,9,10,-1
12369,117,139,-22
12387,15,16,-1
12628,21,29,-8
13172,26.01,23.01,3
13256,276,303,-27
13355,32,18,14
13405,16,10,6
13565,62,67,-5
14115,36,38,-2
14366,89,105,-16
14477,41.02,32.02,9
14638,156,127,29
14711,22,25,-3
14736,0,1,-1
14933,23,20,3
14957,23,25,-2
14969,70,81,-11
15057,15,17,-2
15193,9,7,2
15316,0.2,1.2,-1
15334,5,6,-1
16016,0,1,-1
16069,71,73,-2
16113,0,1,-1
16236,12,14,-2
16255,60,52,8
16260,9,10,-1
16397,45.01,64.01,-19
16421,21,22,-1
16470,28,31,-3
16590,34,37,-3
16706,15,135,-120
16817,13,15,-2
16854,66,79,-13
16958,4,0,4
17030,56,59,-3
17106,13,14,-1
17161,109,63,46
17223,15,16,-1
17346,26,33,-7
17388,3,4,-1
17423,10,12,-2
17459,9903,2688,7215
17463,156,157,-1
17488,92.02,103.02,-11
17500,15,16,-1
17530,54,62,-8
17571,28.02,13.02,15
17626,34.02,25.02,9
17702,23,28,-5
17793,9,7,2
17808,22.96,107.96,-85
17898,26,30,-4
17899,16,23,-7
17936,11,9,2
18003,36,14,22
18045,4,6,-2
18047,20,21,-1
18087,46,50,-4
18103,264,204,60
18128,11,14,-3
18192,91.04,79.04,12
18194,22,25,-3
18202,50,43,7
18209,22,23,-1
18230,165.99,192.99,-27
18314,20,23,-3
