itm_id,branch_stock_from_branch,branch_stock_from_main,diff
1,41784.49,41666.49,118
75,0,5,-5
114,1,2,-1
273,0,1,-1
285,3,4,-1
519,1,6,-5
695,9,10,-1
743,39,56,-17
793,4,6,-2
916,2,0,2
977,9,1,8
1157,3,0,3
1163,4,12,-8
1187,11,17,-6
1250,3,0,3
1335,0,2,-2
1349,9,14,-5
1587,12,21,-9
1599,41,44,-3
1673,6,0,6
2041,11,31,-20
2042,2,0,2
2243,4,2,2
2342,24,28,-4
2354,16,23,-7
2390,18,13,5
2465,24,29,-5
2722,0,1,-1
2734,30,38,-8
2771,7,8,-1
2785,0,1,-1
2944,2,0,2
3060,4,9,-5
3096,46,26,20
3110,0,2,-2
3154,5,11,-6
3318,3,6,-3
3370,63.01,70.01,-7
3436,6,8,-2
3441,53,72,-19
3516,5,6,-1
3648,5,4,1
3882,2,1,1
4061,24,25,-1
4135,5,8,-3
4282,2,1,1
4387,1,2,-1
4422,0,2,-2
4435,12,27,-15
4510,25,27,-2
4608,6,3,3
4876,3,2,1
4985,10,0,10
5051,16,30,-14
5678,18,46,-28
5690,6,19,-13
6134,1,3,-2
6167,0,1,-1
6481,41,7,34
6854,0,2,-2
6884,1,5,-4
6944,2,6,-4
7082,20,24,-4
7168,2,0,2
7197,4,1,3
7256,4,6,-2
7627,0,1,-1
7683,107,140,-33
7757,16,3,13
8160,17,16,1
8293,34,0,34
8344,1,2,-1
8383,11,0,11
8431,400,300,100
8635,1,2,-1
8685,3,4,-1
8698,56,75,-19
8897,58,82,-24
8975,7,5,2
9069,2,3,-1
9251,3,0,3
9318,38,22,16
9377,0,2,-2
9390,0,17,-17
9606,0,12,-12
9771,4,3,1
9930,91,120,-29
10052,5,0,5
10463,4,13,-9
10465,20,27,-7
10473,2,4,-2
10474,1,6,-5
10477,0,1,-1
10483,6,18,-12
10491,3,10,-7
10511,3,5,-2
10665,1,0,1
10682,0,2,-2
10702,26,28,-2
10704,3,9,-6
10742,2,14,-12
10744,0,3,-3
10746,9,15,-6
10747,33,59,-26
10964,1,3,-2
10971,5,13,-8
11275,180,222,-42
11276,9,15,-6
11277,5,8,-3
11283,30,19,11
11288,28,39,-11
11342,5,6,-1
11368,2,3,-1
11376,1,2,-1
11406,11,6,5
11439,0,1,-1
11720,1,0,1
11911,3,6,-3
11923,39,31,8
12094,9,11,-2
12237,9,5,4
12369,50,15,35
12596,0,4,-4
12628,8,21,-13
13256,50,3,47
13355,47,0,47
13486,0,2,-2
13565,3,1,2
13838,2,3,-1
14366,0,1,-1
14600,12,0,12
14627,1,3,-2
14638,27,7,20
14711,17,18,-1
14736,1,7,-6
14969,16,21,-5
15301,0,2,-2
16016,3,0,3
16069,1,7,-6
16113,2,0,2
16236,2,0,2
16255,0,2,-2
16397,94,33,61
16450,4,0,4
16590,15,9,6
16591,8,9,-1
16779,4,0,4
16854,74,102,-28
16958,84,70,14
17030,7,15,-8
17156,8,9,-1
17223,6,7,-1
17346,2,3,-1
17392,21,3,18
17423,3,0,3
17459,273,357,-84
17463,20,55,-35
17488,17,25,-8
17530,54,73,-19
17757,3,5,-2
17899,3.5,4,-0.5
18001,10,0,10
18032,2,1,1
18087,62,13,49
18103,108,120,-12
18109,40,44,-4
18192,10,22,-12
18202,1,0,1
18230,5,2,3
18260,0,1,-1
18338,4,5,-1
18363,27,26,1
18390,73,99,-26
18463,6,3,3
18496,16,25,-9
18549,41,53,-12
18573,10,4,6
18581,25,28,-3
18593,32,36,-4
18604,3,0,3
18625,0.4,0,0.4
18641,14,6,8
18674,35,39,-4
18748,18,22,-4
18762,2,3,-1
18795,215,272,-57
18823,19,21,-2
18911,57,64,-7
18936,21.5,27.5,-6
18941,0.99,2.99,-2
18944,9,11,-2
18985,74,81,-7
19014,5,0,5
19070,3,4,-1
19117,2.5,1.5,1
19149,4,10,-6
19194,7,8,-1
19250,11,8,3
19414,12,10,2
19447,16,9,7
19519,3,4,-1
19578,4,0,4
19634,176,172,4
19652,2,3,-1
19683,30,35,-5
19699,23,35,-12
19716,3,4,-1
19810,2,4,-2
19821,1,0,1
19860,4,8,-4
19891,10,1,9
20115,34,9,25
20202,68,71,-3
20348,0,3,-3
20362,13,0,13
20396,49,65,-16
20555,0,1,-1
20781,0,12,-12
20923,10,14,-4
21058,2,0,2
21097,7,4,3
21247,2,5,-3
21252,1,2,-1
21304,84.04,44.04,40
21347,27,17,10
21348,15,18,-3
21363,17,18,-1
21380,2,4,-2
21384,24,36,-12
21412,45,46,-1
21415,12,13,-1
21485,6,7,-1
21579,3,0,3
21685,17,15,2
21728,0,5,-5
21730,26,29,-3
21757,2,4,-2
21809,4,0,4
21829,3,1,2
21867,0,1,-1
21913,10,8,2
21948,3,4,-1
21954,485,506,-21
22019,0,4,-4
22024,0,18,-18
22157,79,33,46
22367,0,1268,-1268
22370,1,5,-4
22490,5,6,-1
22547,3,4,-1
22592,9,10,-1
22657,25,27,-2
22708,4,0,4
22843,1,0,1
22848,3,5,-2
22880,1,2,-1
23001,62,69,-7
23052,17,32,-15
23086,6,0,6
23100,0,0.5,-0.5
23120,1,2,-1
23126,4,3,1
23132,7,9,-2
23141,7,1,6
23146,3,5,-2
23167,9,13,-4
23191,0,2,-2
23194,3,0,3
23210,13,16,-3
23266,25,34,-9
23283,3,6,-3
23335,5,12,-7
23339,20,27,-7
23474,0,1,-1
23644,0,2,-2
23720,0,1,-1
23873,5,6,-1
24337,6,8,-2
24362,16,10,6
24533,32,9,23
24642,879,1113,-234
24717,79.01,120.01,-41
24994,144,168,-24
25199,912,1116,-204
25713,9,21,-12
25912,137,181,-44
25985,23,14,9
26071,3,4,-1
26400,7,17,-10
26471,3,0,3
26473,9,15,-6
26476,4,6,-2
26480,1,2,-1
26488,0,2,-2
26497,7,8,-1
26524,0,9,-9
26526,8,4,4
26527,5,8,-3
26555,1,0,1
26572,24,32,-8
26602,18,21,-3
26621,7,3,4
26690,89,1,88
26693,4,5,-1
26870,4,5,-1
26873,3,4.5,-1.5
26962,62,32,30
27097,0.99,0,0.99
27163,13,24,-11
27174,0,1,-1
27191,49,73,-24
27227,1,3,-2
27246,3,1,2
27275,14,15,-1
27539,85,69,16
27583,2,3,-1
27692,1,0,1
27753,11,2,9
27892,13,1,12
27937,12,17,-5
27940,14,9,5
28080,6,8,-2
28081,4,5,-1
28082,33,0,33
28165,12,1,11
28202,10,6,4
28270,98.02,152.02,-54
28318,1046,922,124
28418,22,8,14
28477,11,15,-4
28478,7,5,2
28569,10,0,10
28579,32,36,-4
28686,0,4,-4
28701,42,0,42
28721,179,263,-84
28729,61,73,-12
28754,4,1,3
28784,3,124,-121
28920,0,1,-1
28940,5,9,-4
28949,71,85,-14
29008,3,1,2
29070,9,13,-4
29071,5,6,-1
29075,1,4,-3
29156,4,1,3
29162,13,16,-3
29182,2,4,-2
29246,29,30,-1
29319,6,12,-6
29320,3,2,1
30013,24,1,23
30067,1,4,-3
30134,0,4,-4
30373,3,4,-1
30380,2,0,2
30439,1,6,-5
30488,43,54,-11
30517,6,0,6
30547,0,1,-1
30735,124,171,-47
30786,4,10,-6
30851,17,28,-11
30895,6,9,-3
30981,2,3,-1
30985,59,73,-14
31072,2,6,-4
31304,19,9,10
31387,10.01,0.01,10
31470,46,2,44
31520,74.01,111.01,-37
31679,2,0,2
31872,12,6,6
31877,1,3,-2
31925,196,228,-32
31977,6,0,6
32040,8,10,-2
32136,25,20,5
32158,4,2,2
32190,51,49,2
32367,1,3,-2
32644,10,12,-2
32908,1,2,-1
32922,10,17,-7
32994,0,2,-2
33062,62,72,-10
33118,1,2,-1
33156,9,3,6
33188,6,0,6
33318,34,4,30
33330,1,2,-1
33625,1,2,-1
33637,5,15,-10
33692,23,16,7
34053,0,1,-1
34086,0,2,-2
34118,13,25,-12
34373,1,3,-2
34695,20,0,20
34740,418,459,-41
35026,2,0,2
35124,165,199,-34
35235,348,360,-12
35408,7,10,-3
35790,13,12,1
35826,6,7,-1
35841,152,140,12
36034,7,0,7
36249,76,66,10
36302,0,2,-2
36340,2,3,-1
36426,14,16,-2
36575,18,28,-10
36647,10.5,11,-0.5
36857,11,1,10
36944,5,9,-4
37092,15,16.5,-1.5
37119,1,0,1
37211,9,10,-1
37352,7,4,3
37403,18,68,-50
37464,4,5,-1
37496,30,18,12
37504,13,10,3
37505,0,3,-3
37514,6,1,5
37789,9,3,6
37974,5,8,-3
37984,4,1,3
38110,37,9,28
38327,2,3,-1
38415,37,42,-5
38470,5,1,4
38741,0,1,-1
38743,9,10,-1
38750,7,8,-1
39137,2,4,-2
39286,1,3,-2
39577,22,21,1
39581,127.04,135.04,-8
39780,2,3,-1
39814,4,5,-1
39998,7,10,-3
40019,0,1,-1
40038,23,37,-14
40059,6,5,1
40061,6,15,-9
40062,0,1,-1
40067,64,92,-28
40320,6,3,3
40494,19.5,3,16.5
40509,1,0,1
40547,11,9,2
40572,5,6,-1
40590,1,3,-2
40644,9,10,-1
40985,45,31,14
41279,112,62,50
41332,2,0,2
41412,8,18,-10
42145,8,11.5,-3.5
43012,9,4,5
43753,9,6,3
43878,2,0,2
43974,1,0,1
44036,0,1,-1
44176,0,2,-2
44177,25,58,-33
44573,3,10,-7
44857,7,0,7
44906,32,34,-2
45039,35,45,-10
45220,6,3,3
45356,13,21,-8
45383,76,80,-4
45425,19,26,-7
45468,1,2,-1
45584,1,3,-2
45909,5,1,4
46055,4,2,2
46285,9,18,-9
46303,8,11,-3
46320,19,27,-8
46378,1,4,-3
46402,4,2,2
46411,2,8,-6
46414,3,4,-1
46442,19,34,-15
46507,13,1,12
46534,0,8,-8
46552,7,11,-4
46553,6,10,-4
46589,0,1,-1
46598,1,5,-4
46601,4,5,-1
46604,18,24,-6
46667,1,0,1
46723,10,14,-4
46753,3,4,-1
46782,0,1,-1
46818,1,2,-1
46850,3,5,-2
46883,1,4,-3
46893,8.67,2.67,6
46895,12,3,9
47089,5.67,6.66,-0.99
47094,9,19,-10
47130,0,1,-1
47137,5,12,-7
47199,0.4,1.4,-1
47251,5,2,3
47261,21,0,21
47263,26,0,26
47343,1,2,-1
47360,1,2,-1
47361,6,8,-2
47476,0,2,-2
47496,1,2,-1
47555,16,22,-6
47556,7,11,-4
47557,0,9,-9
47567,2,4,-2
47568,2,1,1
47570,13,14,-1
47573,23,16,7
47574,13,25,-12
47575,15,22,-7
47577,1,0,1
47580,64,89,-25
47595,186,0,186
47632,3,1,2
47719,2,3,-1
47723,2,13,-11
47724,9,0,9
47797,6,11,-5
47803,95,93,2
47857,14,19,-5
47899,12,0,12
47903,4,5,-1
47904,10,19,-9
47942,5,1,4
47943,45,54,-9
47944,9,10,-1
48017,6,1,5
48068,3,2,1
48079,1,0,1
48081,15,7,8
48082,30,32,-2
48106,2,6,-4
48121,51,62,-11
48131,41,50,-9
48132,5,1,4
48185,3,4,-1
48198,8,4,4
48207,0,1,-1
48253,9,3,6
48255,17,15,2
48263,21,26,-5
48267,3,10,-7
48296,6,9,-3
48299,3,0,3
48316,7,0,7
48319,12,0,12
48334,14,17,-3
48375,16,14,2
48381,6,1,5
48396,2,4,-2
48399,5,3,2
48410,8,2,6
48411,0,2,-2
48415,0,4,-4
48422,20,13,7
48426,23,34,-11
48436,6,0,6
48458,21,1,20
48459,0,5,-5
48460,20,21,-1
48461,7.99,11,-3.01
48469,5,7,-2
48492,12,17,-5
48533,0,1,-1
48536,2,1,1
48540,3,1,2
48541,1,10,-9
48542,8,10,-2
48543,3,0,3
48556,2,3,-1
48583,2,0,2
48601,24,8,16
48602,0,2,-2
48610,49,70,-21
48611,0,1,-1
48612,1,7,-6
48616,10,5,5
48619,5,0,5
48638,12,15,-3
48641,2,3,-1
48642,30,0,30
48657,21,29,-8
48661,38,45,-7
48668,7,9,-2
48671,0,3,-3
48676,3,6,-3
48680,18,24,-6
48684,0,2,-2
48685,5,4,1
48688,6,9,-3
48700,29,28,1
48709,5,3,2
48723,14,15,-1
48726,3,4,-1
48737,22,5,17
48745,12,6,6
48763,3,10,-7
48789,5,4,1
48805,12,10,2
48806,5,10,-5
48807,39,45,-6
48817,49,41,8
48824,0,1,-1
48825,217,294,-77
48841,9,11,-2
48870,0,3,-3
48918,17,19,-2
48926,15,19,-4
48960,29,11,18
48964,26,33,-7
48967,510,332,178
48980,1,2,-1
48982,0,1,-1
49005,5,7,-2
49010,62,72,-10
49015,4,9,-5
49018,2,3,-1
49031,2,4,-2
49039,32,37,-5
49054,3,6,-3
49066,0,3,-3
49068,2,4,-2
49069,37.99,26,11.99
49074,34,47,-13
49105,15,16,-1
49125,16,30,-14
49141,4,5,-1
49144,4,6,-2
49146,1,2,-1
49151,0,2,-2
49180,25,14,11
49189,13,5,8
49209,1,2,-1
49243,1,0,1
49267,0,2,-2
49292,0,3,-3
49295,3,5,-2
49296,7,8,-1
49300,0,3,-3
49301,3.34,0.67,2.67
49348,41,43,-2
49350,4,7,-3
49352,9,8,1
49357,16,17,-1
49360,145,158,-13
49368,15,1,14
49376,1.34,3,-1.66
49377,0,3,-3
49387,2,4,-2
49401,3,0,3
49411,64,71,-7
49422,19,25,-6
49452,0,2,-2
49455,0,12,-12
49489,3,6,-3
49519,0,1,-1
49550,16,18,-2
49569,14,15,-1
49573,3,0,3
49581,17.25,19,-1.75
49609,3,0,3
49614,10,11,-1
49643,25,27,-2
49650,4.68,5.01,-0.33
49657,13,14,-1
49669,7,8,-1
49670,2,5,-3
49695,4,6,-2
49735,0,2,-2
49748,4,10.5,-6.5
49752,7,9,-2
49767,0,1,-1
49808,1,2,-1
49824,3,2,1
49855,1,0,1
49955,8,9,-1
49963,6,12,-6
49979,0.67,1,-0.33
49996,7.5,10.5,-3
50029,6,9,-3
50087,12,23,-11
50094,3,2,1
50120,73,79,-6
50143,3,4,-1
50162,1,0,1
50170,0,1,-1
50173,4,6,-2
50192,5,2,3
50200,15,19,-4
50217,6,0,6
50222,3,4,-1
50225,17,21,-4
50243,21,25,-4
50253,10,3,7
50281,6,7,-1
50299,12,14,-2
50339,2,0,2
50348,5,0,5
50383,0,1,-1
50384,1,2,-1
50395,6,7,-1
50454,12,8,4
50455,6,8,-2
50554,1,2,-1
50556,2,0,2
50557,3,0,3
50621,1,2,-1
50779,22,42,-20
50786,0,2,-2
50801,8,9,-1
50804,0.5,1,-0.5
50807,5.75,7,-1.25
50818,110,132,-22
50836,4,1,3
50837,3,1,2
50852,0,3,-3
